OFFENSECOUNTY,Number
'DUVAL',1654
'BROWARD',11182
'ALACHUA',1223
'LAFAYETTE',80
'GILCHRIST',40
'ESCAMBIA',1267
'LAKE',225
'SEMINOLE',2014
'WALTON',65
'HENDRY',29
'MIAMI-DADE',4273
'PALM BEACH',979
'PINELLAS',2309
'VOLUSIA',514
'SARASOTA',357
'FLAGLER',86
'SANTA ROSA',127
'BAKER',134
'TAYLOR',306
'ORANGE',1119
'WASHINGTON',45
'HERNANDO',132
'ST. LUCIE',1398
'ST. JOHNS',228
'WAKULLA',31
'GULF',5
'LEON',884
'MARTIN',883
'INTERSTATE',2807
'MARION',847
'MANATEE',271
'LEVY',158
'COLUMBIA',738
'PASCO',985
'DESOTO',101
'GLADES',21
'HOLMES',49
'CHARLOTTE',118
'BRADFORD',106
'MONROE',1219
'OKALOOSA',187
'CITRUS',116
'LEE',381
'MADISON',132
'HIGHLANDS',738
'OUT OF STATE',5
'DIXIE',197
'BREVARD',5453
'BAY',410
'OSCEOLA',285
'JEFFERSON',59
'NASSAU',171
'HARDEE',146
'CLAY',601
'SUWANNEE',645
'CALHOUN',31
'FRANKLIN',12
'HILLSBOROUGH',1455
'JACKSON',74
'INDIAN RIVER',691
'GADSDEN',98
'LIBERTY',17
'POLK',4573
'PUTNAM',91
'COLLIER',115
'OKEECHOBEE',329
'HAMILTON',183
'SUMTER',41
'UNION',34
